Name,NACA6409 9%
Chord(mm),150
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
150.000000,0.000000
149.598000,0.126000
148.395000,0.499500
146.404500,1.105500
143.640000,1.926000
140.134500,2.931000
135.922500,4.086000
131.035500,5.356500
125.535000,6.696000
119.470500,8.067000
112.908000,9.424500
105.912000,10.729500
98.565000,11.941500
90.940500,13.026000
83.119500,13.953000
75.198000,14.694000
67.260000,15.228000
59.385000,15.540000
51.550500,15.528000
43.972500,15.129000
36.753000,14.376000
29.982000,13.311000
23.745000,11.988000
18.120000,10.473000
13.170000,8.833500
8.952000,7.143000
5.515500,5.469000
2.880000,3.871500
1.080000,2.404500
0.120000,1.105500
0.000000,0.000000
0.700500,-0.859500
2.200500,-1.434000
4.459500,-1.735500
7.455000,-1.788000
11.142000,-1.620000
15.475500,-1.266000
20.410500,-0.769500
25.885500,-0.178500
31.852500,0.460500
38.247000,1.093500
45.018000,1.668000
52.095000,2.137500
59.427000,2.458500
67.060500,2.658000
74.802000,2.806500
82.560000,2.887500
90.250500,2.893500
97.789500,2.820000
105.097500,2.670000
112.092000,2.451000
118.695000,2.176500
124.834500,1.861500
130.435500,1.525500
135.432000,1.186500
139.770000,0.864000
143.389500,0.574500
146.254500,0.331500
148.324500,0.151500
149.583000,0.037500
150.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.120000,0.552750
1.080000,0.699826
2.880000,1.173405
5.515500,1.857496
8.952000,2.711606
13.170000,3.689583
18.120000,4.736529
23.745000,5.789222
29.982000,6.785595
36.753000,7.660803
43.972500,8.354146
51.550500,8.814688
59.385000,8.998331
67.260000,8.944913
75.198000,8.752317
83.119500,8.420468
90.940500,7.956386
98.565000,7.372791
105.912000,6.686999
112.908000,5.920789
119.470500,5.101856
125.535000,4.257739
131.035500,3.420646
135.922500,2.618017
140.134500,1.882923
143.640000,1.239627
146.404500,0.711978
148.395000,0.322307
149.598000,0.081076
150.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
150.000000,0.000000
